2025-07-17 21:45:27.054 | INFO     | core.object_detector:__init__:33 - Object detector initialized on cpu
2025-07-17 21:45:31.743 | INFO     | core.depth_estimator:_load_model:63 - Depth estimation model loaded: MiDaS_small
2025-07-17 21:45:32.238 | INFO     | core.audio_processor:_initialize_tts:64 - TTS engine initialized successfully
2025-07-17 21:45:33.794 | INFO     | core.audio_processor:_initialize_speech_recognition:77 - Speech recognition initialized
2025-07-17 21:45:33.795 | INFO     | core.audio_processor:__init__:46 - Audio processor initialized
2025-07-17 21:45:33.795 | INFO     | __main__:__init__:36 - VisionGuide AI initialized successfully
2025-07-17 21:45:34.082 | INFO     | __main__:start_camera:50 - Camera started successfully
2025-07-17 21:45:34.082 | INFO     | __main__:start:164 - VisionGuide AI started
2025-07-17 21:45:34.083 | INFO     | __main__:main:211 - VisionGuide AI is running. Press 'q' to quit.
2025-07-17 21:45:34.410 | ERROR    | __main__:run_detection_loop:149 - Detection loop error: 'AppConfig' object has no attribute 'debug_mode'
2025-07-17 21:45:34.514 | ERROR    | __main__:run_detection_loop:149 - Detection loop error: 'AppConfig' object has no attribute 'debug_mode'
2025-07-17 21:45:34.618 | ERROR    | __main__:run_detection_loop:149 - Detection loop error: 'AppConfig' object has no attribute 'debug_mode'
2025-07-17 21:45:34.721 | ERROR    | __main__:run_detection_loop:149 - Detection loop error: 'AppConfig' object has no attribute 'debug_mode'
2025-07-17 21:45:34.824 | ERROR    | __main__:run_detection_loop:149 - Detection loop error: 'AppConfig' object has no attribute 'debug_mode'
2025-07-17 21:45:34.927 | ERROR    | __main__:run_detection_loop:149 - Detection loop error: 'AppConfig' object has no attribute 'debug_mode'
2025-07-17 21:45:35.030 | ERROR    | __main__:run_detection_loop:149 - Detection loop error: 'AppConfig' object has no attribute 'debug_mode'
2025-07-17 21:45:35.133 | ERROR    | __main__:run_detection_loop:149 - Detection loop error: 'AppConfig' object has no attribute 'debug_mode'
2025-07-17 21:45:35.236 | ERROR    | __main__:run_detection_loop:149 - Detection loop error: 'AppConfig' object has no attribute 'debug_mode'
2025-07-17 21:45:35.339 | ERROR    | __main__:run_detection_loop:149 - Detection loop error: 'AppConfig' object has no attribute 'debug_mode'
2025-07-17 21:45:35.441 | ERROR    | __main__:run_detection_loop:149 - Detection loop error: 'AppConfig' object has no attribute 'debug_mode'
2025-07-17 21:45:35.545 | ERROR    | __main__:run_detection_loop:149 - Detection loop error: 'AppConfig' object has no attribute 'debug_mode'
2025-07-17 21:45:35.649 | ERROR    | __main__:run_detection_loop:149 - Detection loop error: 'AppConfig' object has no attribute 'debug_mode'
2025-07-17 21:45:35.753 | ERROR    | __main__:run_detection_loop:149 - Detection loop error: 'AppConfig' object has no attribute 'debug_mode'
2025-07-17 21:45:35.856 | ERROR    | __main__:run_detection_loop:149 - Detection loop error: 'AppConfig' object has no attribute 'debug_mode'
2025-07-17 21:45:35.960 | ERROR    | __main__:run_detection_loop:149 - Detection loop error: 'AppConfig' object has no attribute 'debug_mode'
2025-07-17 21:45:36.063 | ERROR    | __main__:run_detection_loop:149 - Detection loop error: 'AppConfig' object has no attribute 'debug_mode'
2025-07-17 21:45:36.166 | ERROR    | __main__:run_detection_loop:149 - Detection loop error: 'AppConfig' object has no attribute 'debug_mode'
2025-07-17 21:45:36.270 | ERROR    | __main__:run_detection_loop:149 - Detection loop error: 'AppConfig' object has no attribute 'debug_mode'
2025-07-17 21:45:36.373 | ERROR    | __main__:run_detection_loop:149 - Detection loop error: 'AppConfig' object has no attribute 'debug_mode'
